country,continent,total_confirmed,total_deaths,total_cases_per_1m_population,total_deaths_per_1m_population,population
Falkland Islands Malvinas,South America,1126,0.0,306896,0.0,3669
Fiji,Australia/Oceania,64773,862.0,71293,949.0,908543
Finland,Europe,1069740,4284.0,192512,771.0,5556750
France,Europe,29160802,147257.0,444914,2247.0,65542502
French Guiana,South America,81784,397.0,261212,1268.0,313094
French Polynesia,Australia/Oceania,72821,649.0,256473,2286.0,283932
Gabon,Africa,47608,304.0,20490,131.0,2323511
Gambia,Africa,11999,365.0,4718,144.0,2543054
Georgia,Asia,1655221,16811.0,416417,4229.0,3974908
Germany,Europe,25780226,137919.0,305877,1636.0,84282880
Ghana,Africa,161280,1445.0,4996,45.0,32280617
Gibraltar,Europe,18129,102.0,538400,3029.0,33672
Greece,Europe,3392575,29547.0,328475,2861.0,10328255
Greenland,North America,11971,21.0,210191,369.0,56953
Grenada,North America,16344,221.0,144008,1947.0,113494
Guadeloupe,North America,140130,854.0,350105,2134.0,400251
Guatemala,North America,851877,17792.0,45966,960.0,18532670
Guinea Bissau,Africa,8222,171.0,4002,83.0,2054599
Guinea,Africa,36597,442.0,2653,32.0,13795931
Guyana,South America,63804,1228.0,80396,1547.0,793621
Haiti,North America,30713,835.0,2634,72.0,11661401
Holy See,Europe,29,0.0,36025,0.0,805
Honduras,North America,424390,10896.0,41615,1068.0,10197959
Hungary,Europe,1909948,46343.0,198649,4820.0,9614673
Iceland,Europe,186545,120.0,540134,347.0,345368
India,Asia,43121599,524214.0,30686,373.0,1405273033
Indonesia,Asia,6050776,156458.0,21694,561.0,278910317
Iran,Asia,7228051,141224.0,84052,1642.0,85995095
Iraq,Asia,2326458,25216.0,55520,602.0,41902979
Ireland,Europe,1535451,7203.0,304622,1429.0,5040509
Isle Of Man,Europe,28416,105.0,330915,1223.0,85871
Israel,Asia,4106793,10749.0,440360,1153.0,9326000
Italy,Europe,17057873,165244.0,282901,2741.0,60296265
Jamaica,North America,131980,2995.0,44211,1003.0,2985238
Japan,Asia,8338211,30039.0,66305,239.0,125755488
Jordan,Asia,1694216,14048.0,163034,1352.0,10391780
Kazakhstan,Asia,1305636,13661.0,68020,712.0,19194987
Kenya,Africa,324026,5649.0,5789,101.0,55976553
Kiribati,Australia/Oceania,3093,13.0,25175,106.0,122862
